date,match_list,team_1,team_2,score_1,score_2
2019-06-07,France vs South Korea,France,South Korea,4.0,0.0
2019-06-08,Germany vs China,Germany,China,1.0,0.0
2019-06-08,Spain vs South Africa,Spain,South Africa,3.0,1.0
2019-06-08,Norway vs Nigeria,Norway,Nigeria,3.0,0.0
2019-06-09,Australia vs Italy,Australia,Italy,1.0,2.0
2019-06-09,Brazil vs Jamaica,Brazil,Jamaica,3.0,0.0
2019-06-09,England vs Scotland,England,Scotland,2.0,1.0
2019-06-10,Argentina vs Japan,Argentina,Japan,0.0,0.0
2019-06-10,Canada vs Cameroon,Canada,Cameroon,1.0,0.0
2019-06-11,New Zealand vs Netherlands,New Zealand,Netherlands,0.0,1.0
2019-06-11,Chile vs Sweden,Chile,Sweden,0.0,2.0
2019-06-11,USA vs Thailand,USA,Thailand,13.0,0.0
2019-06-12,Nigeria vs South Korea,Nigeria,South Korea,2.0,0.0
2019-06-12,Germany vs Spain,Germany,Spain,1.0,0.0
2019-06-12,France vs Norway,France,Norway,2.0,1.0
2019-06-13,Australia vs Brazil,Australia,Brazil,3.0,2.0
2019-06-13,South Africa vs China,South Africa,China,0.0,1.0
2019-06-14,Japan vs Scotland,Japan,Scotland,2.0,1.0
2019-06-14,Jamaica vs Italy,Jamaica,Italy,0.0,5.0
2019-06-14,England vs Argentina,England,Argentina,1.0,0.0
2019-06-15,Netherlands vs Cameroon,Netherlands,Cameroon,3.0,1.0
2019-06-15,Canada vs New Zealand,Canada,New Zealand,2.0,0.0
2019-06-16,Sweden vs Thailand,Sweden,Thailand,5.0,1.0
2019-06-16,USA vs Chile,USA,Chile,3.0,0.0
2019-06-17,China vs Spain,China,Spain,0.0,0.0
2019-06-17,South Africa vs Germany,South Africa,Germany,0.0,4.0
2019-06-17,Nigeria vs France,Nigeria,France,0.0,1.0
2019-06-17,South Korea vs Norway,South Korea,Norway,1.0,2.0
2019-06-18,Italy vs Brazil,Italy,Brazil,0.0,1.0
2019-06-18,Jamaica vs Australia,Jamaica,Australia,1.0,4.0
2019-06-19,Scotland vs Argentina,Scotland,Argentina,3.0,3.0
2019-06-19,Japan vs England,Japan,England,0.0,2.0
2019-06-20,Cameroon vs New Zealand,Cameroon,New Zealand,2.0,1.0
2019-06-20,Netherlands vs Canada,Netherlands,Canada,2.0,1.0
2019-06-20,Sweden vs USA,Sweden,USA,0.0,2.0
2019-06-20,Thailand vs Chile,Thailand,Chile,0.0,2.0
2019-06-22,Germany vs Nigeria,Germany,Nigeria,3.0,0.0
2019-06-22,Norway vs Australia,Norway,Australia,1.0,1.0
2019-06-23,England vs Cameroon,England,Cameroon,3.0,0.0
2019-06-23,France vs Brazil,France,Brazil,2.0,1.0
2019-06-24,Spain vs USA,Spain,USA,1.0,2.0
2019-06-24,Sweden vs Canada,Sweden,Canada,1.0,0.0
2019-06-25,Italy vs China,Italy,China,2.0,0.0
2019-06-25,Netherlands vs Japan,Netherlands,Japan,2.0,1.0
2019-06-27,Norway vs England,Norway,England,0.0,3.0
2019-06-28,France vs USA,France,USA,1.0,2.0
2019-06-29,Italy vs Netherlands,Italy,Netherlands,0.0,2.0
2019-06-29,Germany vs Sweden,Germany,Sweden,1.0,2.0
